2016/01/26,11:57:58
舦靡腹,舦靡嘿,禦秖,禦基,芥基,芥秖,禦芥基畉,瞶禦芥基畉,Θユ基,害禴碩(%),Θユ秖,夹嘿,基ず,糹基,︽ㄏゑㄒ,逞緇ぱ计,Τ篵膘,BIV,SIV
="036838",EWッ伦,45,0.19,-,0,-,21.116%,0.70,-2.78%,86,糃棚,2.56% 基ず,171.60,0.0430,24,6.40,0.00%,-
="035818",M2ッ伦,100,2.80,2.90,10,3.571%,2.230%,-,-,0,ど,33.93% 基ず,287.83,0.0290,4,3.83,0.00%,193.14%
="035801",じ9U,200,2.20,2.28,10,3.636%,2.226%,2.25,9.22%,20,ど,32.80% 基ず,290.29,0.0230,36,3.73,31.92%,70.35%
="036402",じ碔5M,499,2.02,-,0,-,2.235%,-,-,0,ど,32.80% 基ず,290.29,0.0210,21,-,65.20%,-
="035059",じ碔16,499,0.99,1.01,10,-,3.319%,-,-,0,ど,17.28% 基ず,328.71,0.0160,21,5.24,66.67%,-
="035136",惩膀2A,50,1.12,1.18,10,5.357%,3.988%,-,-,0,ど,12.88% 基ず,341.52,0.0230,21,6.33,53.92%,64.73%
="030537",参N3,168,0.56,0.62,10,10.714%,4.754%,0.60,11.11%,150,ど,8.96% 基ず,353.81,0.0150,21,7.39,46.93%,61.02%
="035435",じ7M,499,0.87,0.89,10,2.299%,4.957%,0.94,13.25%,258,ど,5.00% 基ず,367.13,0.0290,28,8.00,45.84%,47.63%
="033301",21い獺,499,0.34,0.35,10,2.941%,6.117%,0.39,30%,130,ど,0.34% 基ず,384.21,0.0180,21,9.57,48.78%,50.29%
="720479",QEじ,100,0.78,0.88,10,12.821%,7.071%,-,-,0,畎方,10.91% 基ず,110,0.05,32,5.38,59.06%,75.86%
="037393",惩膀GE,100,0.75,0.76,50,1.333%,3.682%,0.74,-19.57%,421,腳,0.48% 基ず,31.50,0.35,36,8.20,51.34%,52.04%
="037260",穝95,250,0.97,1.02,150,5.155%,6.739%,0.92,5.75%,50,羛筿,10.95% 基ず,10.50,0.80,32,8.74,28.13%,37.54%
="035927",甶G4,499,0.83,0.88,200,6.024%,8.173%,0.75,-1.32%,924,羛筿,10.22% 基ず,10.57,0.80,5,11.45,0.00%,52.51%
="036115",伦DG,494,1.05,1.06,10,0.952%,7.263%,1.09,9%,197,羛筿,8.37% 基ず,10.75,1,39,8.59,30.99%,31.92%
="035719",じ8W,499,0.54,0.57,300,5.556%,7.839%,0.53,3.92%,174,羛筿,5.91% 基ず,11,0.60,36,9.40,34.73%,38.94%
="035928",甶G5,499,0.41,0.46,100,12.195%,19.497%,0.33,-13.16%,200,羛筿,3.74% 基ず,11.23,1,5,32.47,0.00%,31.92%
="035992",惩膀8Y,499,0.36,0.46,10,27.778%,15.954%,-,-,0,羛筿,1.30% 基ず,11.50,1,8,16.70,40.35%,54.85%
="036063",じ碔2R,699,0.37,0.40,10,8.108%,15.330%,-,-,0,羛筿,1.30% 基ず,11.50,1,9,17.96,39.41%,43.62%
="037760",J6竤痲,299,0.48,0.50,299,4.167%,8.452%,0.50,13.64%,3839,羛筿,1.30% 基ず,11.50,0.80,42,10.69,32.39%,34.03%
="035960",瓣布GE,1497,0.17,0.20,40,17.647%,21.743%,-,-,0,羛筿,0.43% 基,11.70,1,5,29.76,35.20%,40.81%
="036011",ARッ伦,499,0.20,0.23,124,15.000%,16.424%,0.21,31.25%,51,羛筿,0.60% 基,11.72,0.90,8,23.60,36.60%,41.28%
="06697P",ドKT,499,0.30,0.38,13,26.667%,12.714%,0.40,21.21%,61,笷筿,1.41% 基,134.60,0.10,21,-14.02,30.06%,36.31%
="07099P",D7瓣,499,0.88,0.94,10,6.818%,5.126%,0.91,8.33%,1,笷筿,0.79% 基ず,137.59,0.10,36,-7.27,48.36%,51.84%
="06504P",じ6T,499,0.32,0.33,10,3.125%,8.070%,0.35,12.90%,50,笷筿,2.21% 基ず,139.58,0.05,22,-11.28,35.11%,36.63%
="06537P",伦AX,693,0.71,-,0,-,5.685%,0.76,11.76%,11,笷筿,2.21% 基ず,139.58,0.08,28,-7.68,47.72%,-
="06854P",4Z碔ü,499,1.15,1.24,10,7.826%,5.596%,-,-,0,笷筿,5.58% 基ず,144.57,0.10,21,-7.36,50.29%,57.60%
="06412P",碔ü6Y,499,1.89,1.98,10,4.762%,4.186%,2.03,13.41%,10,笷筿,8.73% 基ず,149.55,0.12,42,-5.72,39.64%,44.44%
="07053P",伦JV,499,1.21,-,0,-,3.828%,1.27,12.39%,11,笷筿,11.96% 基ず,155.04,0.06,31,-5.13,45.73%,-
="06965P",じ碔9A,499,1.43,-,0,-,3.529%,-,-,0,笷筿,14.43% 基ず,159.52,0.06,25,-,47.60%,-
="07301P",AK竤痲,363,1.38,1.42,199,2.899%,2.799%,-,-,0,笷筿,14.43% 基ず,159.52,0.05,45,-3.44,63.74%,68.60%
="037962",N8竤痲,345,1.45,1.52,10,4.828%,2.873%,-,-,0,らる,12.46% 基ず,30.50,0.30,45,5.24,53.45%,59.53%
="035860",じ碔1F,499,0.74,0.80,10,8.108%,8.108%,-,-,0,らる,5.43% 基ず,32.58,0.4030,4,14.85,37.69%,58.14%
="035794",じ9M,499,0.53,0.54,10,1.887%,4.317%,0.51,-13.56%,18,らる,4.09% 基ず,33,0.2120,36,9.18,40.35%,41.52%
="035829",G3い獺,499,0.27,0.32,10,18.519%,12.465%,0.23,-39.47%,40,らる,2.63% 基ず,33.47,0.2650,4,28.33,30.99%,47.36%
="037182",GXッ伦,499,0.78,0.79,10,1.282%,3.929%,0.73,-15.12%,10,らる,2.08% 基ず,33.60,0.32,31,8.82,51.58%,52.28%
="036068",瓣布GR,1497,0.42,0.45,30,7.143%,7.236%,-,-,0,らる,1.21% 基ず,33.94,0.3180,9,14.23,51.17%,55.35%
="06607P",惩膀6Q,200,0.17,0.21,10,23.529%,9.262%,0.19,11.76%,1,らる,1.06% 基,33.94,0.3180,3,-23.76,56.49%,66.84%
="037662",じ碔F7,499,0.75,0.76,150,1.333%,3.055%,-,-,0,らる,0.58% 基,34.50,0.30,42,7.21,54.97%,55.67%
="035837",惩膀7G,200,0.16,0.26,10,62.500%,9.024%,-,-,0,らる,1.52% 基,34.88,0.3180,4,21.53,50.52%,72.81%
="036217",瓣2E,499,0.39,0.40,30,2.564%,5.264%,0.35,-30%,169,らる,1.52% 基,34.88,0.3180,21,14.44,44.20%,45.13%
="036762",ら脖07,499,0.37,0.38,10,2.703%,4.940%,0.36,-20%,10,らる,2.00% 基,35,0.30,23,12.99,44.21%,45.26%
="037800",AKい獺,499,0.34,0.39,100,14.706%,3.145%,0.32,-15.79%,80,らる,2.00% 基,35,0.16,43,8.54,50.99%,57.66%
="06460P",じ3X,499,1.32,1.37,10,3.788%,3.981%,1.43,19.17%,20,らる,9.04% 基ず,37.71,0.3710,21,-7.47,33.79%,40.35%
="034588",碔ü5S,499,0.84,0.86,10,2.381%,4.076%,0.81,-10%,10,地硄,4.36% 基ず,17.44,0.5160,37,7.35,52.51%,54.38%
="07284P",じ碔L4,499,0.83,0.84,50,1.205%,3.034%,0.86,3.61%,3,地硄,5.21% 基ず,19.20,0.42,44,-5.04,55.32%,56.26%
="06926P",98惩膀,400,0.60,0.63,20,5.000%,4.083%,-,-,0,地硄,6.67% 基ず,19.50,0.35,23,-6.98,49.24%,54.38%
="037245",NBじ,499,0.62,0.65,499,4.839%,5.297%,0.60,-16.67%,515,翬,3.44% 基ず,72.99,0.1420,32,11.70,32.62%,35.20%
="037268",7F碔ü,499,0.74,0.75,200,1.351%,5.126%,0.73,-10.98%,10,翬,3.44% 基ず,72.99,0.1640,32,11.06,34.38%,35.14%
="07255P",じ碔H3,499,0.63,0.64,100,1.587%,4.578%,0.62,3.33%,223,翬,0.67% 基,75,0.20,42,-10.92,33.74%,34.20%
="07296P",惩膀LQ,300,0.96,0.97,300,1.042%,3.758%,-,-,0,翬,0.67% 基,75,0.25,45,-8.77,39.18%,39.53%
